Item, Description, Quantity, Unit Price ($), Total Price ($), URL, Note
PCB, PCB,5,1.02,5.1,,
CoreChips SL2.1s,USB 2.0 HUB Controller Integrated Circuit,5,0.2534,1.27,https://www.lcsc.com/product-detail/C2684433.html?s_z=n_q_C2684433%2520&spm=wm.fly.bg.0.stp&lcsc_vid=RQANV1VQTwAIBVxSQgcLAQdRFAQNUQVeQlQMUlVWT1MxVlNeRlZWU1VVQ1FdUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,I can't order less than a minimum amount.
SHOU HAN 10.0 QHHTZB6.3,CONN RCPT USB 2.0 Type-A 4POS SMD R/A,10,0.0636,0.64,https://www.lcsc.com/product-detail/C668591.html?s_z=n_q_C668591&globalKeyword=C668591,I can't order less than a minimum amount.
SHOU HAN TYPE-C 16PIN 2MD(073),CONN RCPT Type-C 16POS SMD R/A,20,0.0707,1.41,https://www.lcsc.com/product-detail/C2765186.html?s_z=n_q_C2765186&globalKeyword=C2765186,I can't order less than a minimum amount.
10k Resistor SMD:R 0402,Resistor,6,0.0083,0.0498,https://robu.in/product/10k-resistor-smdr-0402-pack-of-50/,
0.1uf Capacitor SMD:C 0402,Capacitor,11,0.011,0.121,,
Total,,,,8.5908,,
